Date,open,high,low,close,volume,average,close_shift,daily_change
2024-11-01,73.94,74.15,72.25,73.25,33542204,73.595,72.05,1.6655100624566321
2024-11-04,72.75,74.22,72.66,73.25,14949148,73.0,73.25,0.0
2024-11-05,73.55,74.34,73.24,74.15,12274566,73.85,73.25,1.2286689419795271
2024-11-06,73.455,74.62,70.7412,74.36,26410662,73.9075,74.15,0.2832097100471831
2024-11-07,76.1,76.4,72.74,73.13,24305902,74.615,74.36,-1.6541151156535872
2024-11-08,73.44,73.56,71.555,72.04,20152597,72.74000000000001,73.13,-1.4904963763161305
2024-11-11,72.5,73.0,71.34,71.65,22682174,72.075,72.04,-0.5413659078289834
2024-11-12,71.96,72.68,71.2,71.37,19439705,71.66499999999999,71.65,-0.3907885554780166
2024-11-13,71.6,72.08,70.55,71.16,15006009,71.38,71.37,-0.2942412778478509
2024-11-14,71.21,72.75,70.76,71.44,17372180,71.32499999999999,71.16,0.3934794828555299
2024-11-15,72.04,73.63,71.76,73.25,23980917,72.64500000000001,71.44,2.533594624860025
2024-11-18,72.04,72.04,67.8,69.33,45238309,70.685,73.25,-5.351535836177479
2024-11-19,68.2645,69.6,68.2,69.13,22289103,68.69725,69.33,-0.28847540747152234
2024-11-20,69.26,70.33,68.95,69.6,16656551,69.43,69.13,0.6798784898018218
2024-11-21,70.28,70.87,68.8,69.64,25657713,69.96000000000001,69.6,0.057471264367814356
2024-11-22,69.965,71.54,69.35,71.51,14874060,70.73750000000001,69.64,2.6852383687536063
2024-11-25,72.51,73.55,71.83,73.42,17446563,72.965,71.51,2.6709551111732566
2024-11-26,73.5,73.5,71.34,71.56,13704896,72.53,73.42,-2.5333696540452144
2024-11-27,72.05,72.7,71.01,71.62,12967786,71.83500000000001,71.56,0.0838457238680812
2024-11-29,71.7,72.44,71.52,71.96,7348658,71.83,71.62,0.474727729684421
